RandomUniform : Cost(compute_cost=4, output_memory=[460800], temporary_memory=0, persistent_memory=0)
RandomUniform : Cost(compute_cost=4, output_memory=[460800], temporary_memory=0, persistent_memory=0)
RandomUniform : Cost(compute_cost=3, output_memory=[460800], temporary_memory=0, persistent_memory=0)
RandomUniform : Cost(compute_cost=4, output_memory=[460800], temporary_memory=0, persistent_memory=0)
RandomUniform : Cost(compute_cost=3, output_memory=[460800], temporary_memory=0, persistent_memory=0)
RandomUniform : Cost(compute_cost=3, output_memory=[460800], temporary_memory=0, persistent_memory=0)
RandomUniform : Cost(compute_cost=3, output_memory=[460800], temporary_memory=0, persistent_memory=0)
RandomUniform : Cost(compute_cost=3, output_memory=[460800], temporary_memory=0, persistent_memory=0)
RandomUniform : Cost(compute_cost=3, output_memory=[460800], temporary_memory=0, persistent_memory=0)
RandomUniform : Cost(compute_cost=3, output_memory=[460800], temporary_memory=0, persistent_memory=0)
RandomUniform : Cost(compute_cost=4, output_memory=[460800], temporary_memory=0, persistent_memory=0)
RandomUniform : Cost(compute_cost=3, output_memory=[460800], temporary_memory=0, persistent_memory=0)
RandomUniform : Cost(compute_cost=3, output_memory=[460800], temporary_memory=0, persistent_memory=0)
RandomUniform : Cost(compute_cost=3, output_memory=[460800], temporary_memory=0, persistent_memory=0)
RandomUniform : Cost(compute_cost=3, output_memory=[460800], temporary_memory=0, persistent_memory=0)
RandomUniform : Cost(compute_cost=4, output_memory=[460800], temporary_memory=0, persistent_memory=0)
RandomUniform : Cost(compute_cost=3, output_memory=[460800], temporary_memory=0, persistent_memory=0)
RandomUniform : Cost(compute_cost=3, output_memory=[460800], temporary_memory=0, persistent_memory=0)
RandomUniform : Cost(compute_cost=13, output_memory=[3932160], temporary_memory=0, persistent_memory=0)
RandomUniform : Cost(compute_cost=14, output_memory=[3932160], temporary_memory=0, persistent_memory=0)
RandomUniform : Cost(compute_cost=14, output_memory=[3932160], temporary_memory=0, persistent_memory=0)
RandomUniform : Cost(compute_cost=14, output_memory=[3932160], temporary_memory=0, persistent_memory=0)
RandomUniform : Cost(compute_cost=14, output_memory=[3932160], temporary_memory=0, persistent_memory=0)
RandomUniform : Cost(compute_cost=14, output_memory=[3932160], temporary_memory=0, persistent_memory=0)
RandomUniform : Cost(compute_cost=5, output_memory=[983040], temporary_memory=0, persistent_memory=0)
RandomUniform : Cost(compute_cost=4, output_memory=[983040], temporary_memory=0, persistent_memory=0)
RandomUniform : Cost(compute_cost=4, output_memory=[983040], temporary_memory=0, persistent_memory=0)
RandomUniform : Cost(compute_cost=4, output_memory=[983040], temporary_memory=0, persistent_memory=0)
RandomUniform : Cost(compute_cost=4, output_memory=[983040], temporary_memory=0, persistent_memory=0)
RandomUniform : Cost(compute_cost=4, output_memory=[983040], temporary_memory=0, persistent_memory=0)
RandomUniform : Cost(compute_cost=4, output_memory=[983040], temporary_memory=0, persistent_memory=0)
RandomUniform : Cost(compute_cost=4, output_memory=[983040], temporary_memory=0, persistent_memory=0)
RandomUniform : Cost(compute_cost=4, output_memory=[983040], temporary_memory=0, persistent_memory=0)
